File name,Column,Missing Rows
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error_FCSFailure,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_SCU_Error_VehComm,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_StsVlvHeatrCooltReq,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_bWarn,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_bErr,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_StFuCellSysAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValAlvctrFuCellToVeh,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_NCmprAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_StsCooltPmpAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_StsFuTankVlvReq,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValEmpowdForCanFromSigExt,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValEmpowdForCanFromSigInt,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValShtdnMode1,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValShtdnMode2,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,OIFC_ValSftyShtdnMode,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_StCmprOperModeAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_StPeDcdcOperModeAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCU_StartMode,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,ETC_HvInterlockMode,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VCU_StVehHybridMode,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_bAcvClmp15,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AB_Gurtwarn_VB,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AB_Gurtwarn_VM,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AB_Gurtwarn_VF,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AB_Sitzpos_Sens_FA,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AB_Sitzpos_Sens_BF,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AAG_Anhaenger_erkannt,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,AAG_Anhaenger_abgesteckt,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BM_Warnblinken,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BM_rechts,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BM_links,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstStrom_02,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstSpannung,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstModus,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstVorlaufTemperatur,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstRuecklaufTemperatur_02,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstTemperatur_hoechste,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,BMS_IstTemperatur_niedrigste,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
